Timestamp,Permission,Gender,Postal Code,Education,Education Institution,Years of experience,Employment Commitment,Employment Type,Job Category,Monthly Salary,Job Title
13/04/2022 08:56:56,Yes,Female,4,"Bachelor, Master, UX Course",Medialogy at AAU and UX course from talent garden,1,Full-time (37 hours or more per week),Corporate,UX Researcher,41500,
13/04/2022 10:57:01,Yes,Male,1264,Master,Service Systems design,1,Full-time (37 hours or more per week),Agency/consultancy,Service Designer,32000,
13/04/2022 11:08:33,Yes,Female,2400,Master,Aalborg University (Copenhagen Campus),2,Full-time (37 hours or more per week),Agency/consultancy,Service Designer,28000,
13/04/2022 12:31:47,Yes,Female,2450,Master,ITU,9,Full-time (37 hours or more per week),Scale-up,UX Designer,54000,
14/04/2022 16:51:23,Yes,Female,2450,"Bachelor, Master","KEA, AAU CPH",8,Full-time (37 hours or more per week),Corporate,Service Designer,43500,
15/04/2022 19:36:42,Yes,Male,8200,"Self-taught, Bachelor, Master",Aarhus University,4,Part time (Less than 37 hours a week),Corporate,UX Designer,40600,
19/04/2022 12:25:15,Yes,Female,2000,"Bachelor, Master",IY`TU,1,Full-time (37 hours or more per week),Agency/consultancy,Service Designer,40000,
19/04/2022 12:56:11,Yes,Male,2200,Master,IT University of Copenhagen,6,Full-time (37 hours or more per week),Scale-up,UX Designer,41200,
20/04/2022 15:39:05,Yes,Female,1256,"Academy Profession (AP) Degree, UX Course",KEA,3,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,37000,
20/04/2022 18:36:37,Yes,Female,1614,Self-taught,-,4,Full-time (37 hours or more per week),Scale-up,Product Designer,42000,
20/04/2022 22:01:26,Yes,Female,8000,Master,Aarhus University,2,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,35000,
21/04/2022 22:06:03,Yes,Male,Copenhagen,Master,Kolding designschool and the royal academy,3,Full-time (37 hours or more per week),Corporate,Service Designer,41600,
21/04/2022 22:42:33,Yes,Male,2750,"Bachelor, Master, UX Course",DTU,3,Full-time (37 hours or more per week),Corporate,Manager,39500,
25/04/2022 09:51:59,Yes,Female,2450,Master,DTU,2,Full-time (37 hours or more per week),Scale-up,UX/UI Designer,43000,
03/05/2022 15:02:35,Yes,Male,2100,Master,ITU,10,Full-time (37 hours or more per week),Corporate,Manager,75000,
03/05/2022 19:19:25,Yes,Female,2800,Master,ITU,8,Full-time (37 hours or more per week),Corporate,Manager,55000,
04/05/2022 11:23:52,Yes,Male,1607,Datamatiker and self tought through work,KEA,12,Full-time (37 hours or more per week),Agency/consultancy,UX/UI Designer,49000,Senior CX Designer
04/05/2022 12:37:17,Yes,Male,1577,"Self-taught, Bachelor",ITU,10,Full-time (37 hours or more per week),Agency/consultancy,Product Designer,65000,design lead
05/05/2022 07:10:51,Yes,Female,8000,Bachelor,EAAA,4,Full-time (37 hours or more per week),Agency/consultancy,Digital Designer,28000,Digital designer
05/05/2022 07:51:57,Yes,Male,Copenhagen,"Self-taught, Bachelor",DMJX: interactive design,14,Full-time (37 hours or more per week),Startup,Digital Designer,66000,None
06/05/2022 11:19:41,Yes,Male,2100,Self-taught,DRB (Reklame) skolen,15,Full-time (37 hours or more per week),Government,Manager,46300,UX team lead
06/05/2022 11:45:57,Yes,Male,9000,Master,Aalborg University,2,Full-time (37 hours or more per week),Corporate,UX Designer,30000,UX Designer
06/05/2022 12:53:39,Yes,Female,1434,"Master, Advanced Design Sprint Facilitation",ITU,8,Full-time (37 hours or more per week),Scale-up,Manager,55000,Head of
06/05/2022 16:29:13,Yes,Female,2450,"Bachelor, UX Course",AAU and Kea (talent garden innovation school),2,Full-time (37 hours or more per week),Corporate,UX Researcher,41500,Ux researcher
06/05/2022 18:43:45,Yes,Female,8000,"Bachelor, Master",AAU,3,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,39000,UX Designer
08/05/2022 18:58:10,Yes,Male,2300,Master,ITU,5,Full-time (37 hours or more per week),Scale-up,UI Designer,53000,Senior UI Designer
08/05/2022 20:22:51,Yes,Female,2300,"Self-taught, Bachelor",-,1.5,Full-time (37 hours or more per week),Scale-up,Product Designer,39000,Product designer
09/05/2022 19:26:22,Yes,Female,1263,"Self-taught, UX Course, BA in Graphic Design",DMJX,6,Full-time (37 hours or more per week),Corporate,Visual Designer,49000,Visual Designer
09/05/2022 21:01:16,Yes,Female,2800,Master,"Bachelor: Aarhus University, MASTER: IT-University + 6 months at Berkeley University",8,Full-time (37 hours or more per week),Corporate,UX Designer,45100,UX + Digital design lead
10/05/2022 14:27:14,Yes,Female,2300,Master,KEA and ITU,7,Full-time (37 hours or more per week),Scale-up,Strategist,50000,Snr. UX Strategist
10/05/2022 19:54:24,Yes,Female,2450,Master,ITU,1,Full-time (37 hours or more per week),Corporate,UX/UI Designer,47520,UX Researcher and Designer
11/05/2022 22:03:38,Yes,Female,2100,"Self-taught, Academy Profession (AP) Degree",Product School,3,Full-time (37 hours or more per week),Scale-up,UX Researcher,44000,Product Data Analyst
12/05/2022 10:54:22,Yes,Female,2200,UX Course,ITU,3,Full-time (37 hours or more per week),Agency/consultancy,Manager,40000,Design Manager
19/05/2022 10:26:07,Yes,Male,1300,Master,DTU,4,Full-time (37 hours or more per week),Agency/consultancy,Strategist,54000,Senior Product Designer
19/05/2022 11:25:23,Yes,Female,1434,"Academy Profession (AP) Degree, Master, UX Course","UX Design Institute, LMS London School of Design and Marketing (MA) in progress",8,Full-time (37 hours or more per week),Startup,Product Designer,44000,Product Designer
19/05/2022 22:22:17,Yes,Female,2100,Bachelor,Danish school of media and journalism - Copenhagen,12,Full-time (37 hours or more per week),Corporate,UX Designer,44688,Senior UX Designer
21/05/2022 13:08:39,Yes,Female,2400,Master,AAU,1,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,36000,Junior ux designer
21/05/2022 20:53:49,Yes,Male,2450,Master,AAU,4,Full-time (37 hours or more per week),Scale-up,UX Designer,42800,UX Architect
22/05/2022 09:31:45,Yes,Female,8000,"Master, UX Course",AAU and UXQB,6,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,51000,Senior UX Consultant
22/05/2022 20:32:34,Yes,Male,1300,"Bachelor, Master",Politecnico di Milano,3,Full-time (37 hours or more per week),Scale-up,UX/UI Designer,45000,UI Designer
23/05/2022 17:38:17,Yes,Female,1100,Master,ITU,3,Full-time (37 hours or more per week),Scale-up,UX Designer,47000,Senior UX Designer
23/05/2022 19:42:47,Yes,Female,2200,"Bachelor, Master",ITU,8,Full-time (37 hours or more per week),Corporate,UX/UI Designer,52000,Senior UX designer
24/05/2022 20:03:58,Yes,Female,2200,UX Course,Careerfoundry,0,Full-time (37 hours or more per week),Scale-up,UX/UI Designer,33000,Junior ux designer
24/05/2022 20:05:21,Yes,Female,1135,"Self-taught, Academy Profession (AP) Degree, Bachelor",ITU,14,Full-time (37 hours or more per week),Corporate,UX/UI Designer,38000,Senior digital designer
25/05/2022 13:13:42,Yes,Male,1661,Master,IT University of Copenhagen,2,Full-time (37 hours or more per week),Scale-up,Digital Designer,48000,Design Engineer
25/05/2022 13:54:32,Yes,Male,2300,Master,ITU & DTU,3,Full-time (37 hours or more per week),Scale-up,Product Designer,38000,UX Designer
26/05/2022 21:06:12,Yes,Female,2300,Master,"KEA, Hyper Island",4,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,47500,Sr User Researcher
27/05/2022 09:01:27,Yes,Female,8800,Bachelor,Erhvervsakademiet,3,Full-time (37 hours or more per week),Corporate,UX Designer,38000,UX designer
27/05/2022 10:10:05,Yes,Male,8000,Master,Information science and digital design,12,Full-time (37 hours or more per week),Corporate,Product Designer,70000,Product designer
27/05/2022 18:27:28,Yes,Male,2820,"Self-taught, CBS Management of innovation and business development ",No UX. CBS innovation management,3,Full-time (37 hours or more per week),Corporate,Strategist,40750,Design Strategist
28/05/2022 10:17:25,Yes,Female,2100,"Bachelor, Master, Several bachelors",ITU,10,Full-time (37 hours or more per week),Corporate,Manager,53700,UX Team Lead
31/05/2022 09:58:56,Yes,Male,1459,"Self-taught, Academy Profession (AP) Degree, Bachelor, Youtube","KEA (multimedia design), DMJX (Interactive design)",7,Full-time (37 hours or more per week),Corporate,Product Designer,48000,"Product designer (individual contributor, p3)"
01/06/2022 12:53:56,Yes,Female,2100,Master,KEA and ITU in copenhagen,2,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,41500,"Consultant in UX, Design Thinking and Innovation"
01/06/2022 21:16:18,Yes,Female,2300,"Bachelor, UX Course","UX Design Institute (UXDI), Interaction Design Foundation courses, Digital Skills Academy course Dublin in Digital technologies and design",4,Full-time (37 hours or more per week),Startup,Product Designer,46000,Product designer
01/06/2022 22:34:44,Yes,Female,2100,"Bachelor, Master",ITU,5,Full-time (37 hours or more per week),Corporate,UX/UI Designer,45000,Product Designer
02/06/2022 09:35:28,Yes,Female,1711,Master,AAU,1,Full-time (37 hours or more per week),Agency/consultancy,Service Designer,35000,Service Designer/ User Researcher
02/06/2022 11:12:48,Yes,Male,6000,"Self-taught, Bachelor, Master, UX Course",SDU,1,Full-time (37 hours or more per week),Scale-up,UX Researcher,30000,UX Research
02/06/2022 17:57:19,Yes,Male,1403,Master,AAU CPH,3,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,32000,Service Designer
03/06/2022 06:41:36,Yes,Female,2300,Master,KEA & ITU,10,Full-time (37 hours or more per week),Corporate,Service Designer,65000,Senior Service Designer
03/06/2022 06:57:39,Yes,Male,2800,PhD,Aalborg University,15,Volunteer,Corporate,UX Designer,60000,Senior UX Designer
03/06/2022 09:10:25,Yes,Male,2300,Master,DTU,1,Full-time (37 hours or more per week),Scale-up,UX Designer,29000,UX Designer
03/06/2022 09:50:14,Yes,Female,5000,PhD,"PhD in Cultural Anthropology, UFRJ, Brazil",3,Full-time (37 hours or more per week),Scale-up,UX Researcher,38500,User Requirements Analyst
03/06/2022 14:13:02,Yes,Male,8000,Master,Aarhus university,1,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,37000,Junior user experience designer
05/06/2022 19:11:52,Yes,Male,2100,Master,Aarhus University,3,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,41000,CX Architect
06/06/2022 09:51:02,Yes,Female,2300,Master,Aalborg University,2,Full-time (37 hours or more per week),Scale-up,UX/UI Designer,38100,UX Designer
06/06/2022 19:03:27,Yes,Male,3400,"Bachelor, Master, UX Course",Outside of Denmark,15,Full-time (37 hours or more per week),Corporate,UX Researcher,62000,Principal UX Researcher
07/06/2022 18:27:25,Yes,Female,1403,A bit of mix of everything,"KEA - eConcept Development, Hyper Island - Behavioral Design online course, Aalborg University - Master in Techno-Anthropology",4,Full-time (37 hours or more per week),Scale-up,Product Designer,52000,Product Designer
08/06/2022 11:45:45,Yes,Female,1161,"Academy Profession (AP) Degree, Bachelor, Master",SDU,3,Full-time (37 hours or more per week),Scale-up,Product Designer,39000,Product Designer
09/06/2022 16:18:30,Yes,Female,1900,"Master, UX Course",Anthropology (KU),3,Full-time (37 hours or more per week),Agency/consultancy,UX Researcher,34000,UX Researcher & Project Manager
10/06/2022 17:17:24,Yes,Female,2400,"Self-taught, UX Course, Job with relation to UX introduced me to the field ",UserTribe / Sonar,2,Freelance/consultant,Corporate,UX Researcher,,User insights specialist
13/06/2022 10:19:59,Yes,Male,2450,Master,ITU,2,Full-time (37 hours or more per week),Corporate,UX/UI Designer,40425,Digital designer
14/06/2022 07:48:36,Yes,Female,1304,Master,University of Copenhagen,4,Full-time (37 hours or more per week),Agency/consultancy,Strategist,38000,Experience Designer
14/06/2022 11:24:49,Yes,Male,8000,Master,"Digital Design, AU",4,Full-time (37 hours or more per week),Corporate,UX Designer,50000,"UX Designer - Need a place to give some feedback: This survey is basically useless, if it is not possible to specify total hours ( more or less than 37) and we cannot register how much we get in pension - this vary a lot. E.g. I get 11,5% pension and paid lunch break (so, only working 34,5 hours). But another person could get 52.000 in salary and 0% pension and it will look like I am underpaid compared to the other person."
14/06/2022 12:42:13,Yes,Female,8000,"Self-taught, Bachelor, UX Course","BAA, Nielsen Norman Group",3.5,Full-time (37 hours or more per week),Corporate,UX Designer,38000,User Experience Consultant
14/06/2022 23:32:22,Yes,Female,2100,"Bachelor, Master",ITU and Royal College of Art in London,3,Full-time (37 hours or more per week),Agency/consultancy,Service Designer,38500,User experience designer
15/06/2022 10:18:25,Yes,Female,2750,Master,"Via university, ITU",20,Full-time (37 hours or more per week),Corporate,Manager,57000,Experience Lead
15/06/2022 11:17:45,Yes,Female,8000,Master,"Digital design, AU",6,Full-time (37 hours or more per week),Agency/consultancy,UX Designer,39500,Senior user experience consultant
15/06/2022 11:18:03,Yes,Male,2300,Master,DTU,10,Full-time (37 hours or more per week),Scale-up,Product Designer,53000,Senior Product Designer
15/06/2022 11:41:21,Yes,Male,2700,"Self-taught, UX Course",None they apply here,5,Full-time (37 hours or more per week),Corporate,UX Designer,56000,Lead Experience Designer
